category,bibtex_key,title,doi,source_url,status,local_file,sha256,notes
"cited_in_current_manuscript","Rose2020","Zero Trust Architecture","10.6028/NIST.SP.800-207","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-207.pdf","already_present","papers/reference_library/01_cited_in_current_manuscript/Rose2020.pdf","0290d6ece24874287316f4bf430fef770aa4ec08a2227c8f2c1e5b2ff975e03d","Previously downloaded PDF retained."
"cited_in_current_manuscript","Gai2023","A Blockchain-Based Access Control Scheme for Zero Trust Cross-Organizational Data Sharing","10.1145/3511899","https://doi.org/10.1145/3511899","not_downloaded","","","No verified public PDF was found automatically; publisher page retained for manual access."
"cited_in_current_manuscript","Hu2014","Guide to Attribute Based Access Control (ABAC) Definition and Considerations","10.6028/NIST.SP.800-162","https://nvlpubs.nist.gov/nistpubs/specialpublications/NIST.SP.800-162.pdf","already_present","papers/reference_library/01_cited_in_current_manuscript/Hu2014.pdf","ea90ee967a7011c8de5cfaffe0820d157167edefdea5fc2a84af730af4295cd7","Previously downloaded PDF retained."
"cited_in_current_manuscript","CJIS2024","Criminal Justice Information Services (CJIS) Security Policy","","","not_downloaded","","","No verified public PDF was found automatically; publisher page retained for manual access."
"cited_in_current_manuscript","Cheng2025","`Say What You Mean': Natural Language Access Control With Large Language Models for Internet of Things","10.1109/TIFS.2026.3712224","https://arxiv.org/pdf/2505.23835","already_present","papers/reference_library/01_cited_in_current_manuscript/Cheng2025.pdf","36b4deedff3be871b2a31238a01937f94d12ece484c899764bd6576844809ba3","Previously downloaded PDF retained."
"cited_in_current_manuscript","Fleming2025","Uncertainty-Aware, Risk-Adaptive Access Control for Agentic Systems Using an LLM-Judged TBAC Model","10.48550/arXiv.2510.11414","https://arxiv.org/pdf/2510.11414","already_present","papers/reference_library/01_cited_in_current_manuscript/Fleming2025.pdf","17bb8cce27cc68effd03650362995678c32abb77d0f13cbe4dd8f35882699681","Previously downloaded PDF retained."
"cited_in_current_manuscript","Zisad2026","LLMAC: A Global and Explainable Access Control Framework with Large Language Model","10.1109/CCNC65079.2026.11366514","https://arxiv.org/pdf/2602.09392","already_present","papers/reference_library/01_cited_in_current_manuscript/Zisad2026.pdf","32aead24bffd7632dbc683f550e4966d67b100f31657a040069a58ff7c53a779","Previously downloaded PDF retained."
"cited_in_current_manuscript","Ghaffari2023","Distributed Ledger Technologies for Authentication and Access Control in Networking Applications: A Comprehensive Survey","10.1016/j.cosrev.2023.100590","https://hal.science/hal-04184439v1/document","already_present","papers/reference_library/01_cited_in_current_manuscript/Ghaffari2023.pdf","b84e85826a0398d2e463a39354b409cb2253e2ce9b5c05702cc5e8c88b3ced45","Previously downloaded PDF retained."
"cited_in_current_manuscript","Ramazhamba2023","A Blockchain Model for Sharing Information in Criminal Justice Systems","10.1007/978-3-031-42991-0_14","https://researchspace.csir.co.za/bitstream/handle/10204/13368/RS_27272_NGEI_A%20Blockchain%20Model%20for%20Sharing%20Information%20In%20Criminal%20Justice%20Systems_202310.pdf","downloaded_open_access","papers/reference_library/01_cited_in_current_manuscript/Ramazhamba2023.pdf","d44fa2dbebe929e3aa20189d2a2ac857a7fca802d9212c6ea283e5f53c3c9c5e","Downloaded from a public open-access location."
"cited_in_current_manuscript","Akbarfam2023","ForensiBlock: A Provenance-Driven Blockchain Framework for Data Forensics and Auditability","10.1109/TPS-ISA58951.2023.00025","https://arxiv.org/pdf/2308.03927","downloaded_open_access","papers/reference_library/01_cited_in_current_manuscript/Akbarfam2023.pdf","495a6caca5aa62deda4d6279f8e0650f9d5d4fdb979ddc92d52f09dac4995f25","Downloaded from a public open-access location."
"cited_in_current_manuscript","Kumar2025","ZAKON: A Decentralized Framework for Digital Forensic Admissibility and Justification","10.1016/j.ipm.2025.104226","https://doi.org/10.1016/j.ipm.2025.104226","not_downloaded","","","No verified public PDF was found automatically; publisher page retained for manual access."
"cited_in_current_manuscript","Maesa2019b","A Blockchain Based Approach for the Definition of Auditable Access Control Systems","10.1016/j.cose.2019.03.016","https://www.repository.cam.ac.uk/bitstreams/8b2b29dc-c762-4183-a88b-ce45cad7c797/download","already_present","papers/reference_library/01_cited_in_current_manuscript/Maesa2019b.pdf","f518af4f52b0eb3c824506b27b49193fe456d2b6721e9953551ddafcbe746181","Previously downloaded PDF retained."
"cited_in_current_manuscript","Guo2019","Access Control for Electronic Health Records with Hybrid Blockchain-Edge Architecture","10.1109/Blockchain.2019.00015","https://arxiv.org/pdf/1906.01188","downloaded_open_access","papers/reference_library/01_cited_in_current_manuscript/Guo2019.pdf","9e38fb9c61438fedfca5a6fd3054debcf021b36d434b88889816e5465f466b11","Downloaded from a public open-access location."
"cited_in_current_manuscript","Sengupta2025","InterAcct: Access Control for Permissioned Blockchain Interoperation","10.1109/ICBC64466.2025.11114648","https://doi.org/10.1109/ICBC64466.2025.11114648","not_downloaded","","","No verified public PDF was found automatically; publisher page retained for manual access."
"cited_in_current_manuscript","Mukherjee2020","PoliceChain: Blockchain-Based Smart Policing System for Smart Cities","10.1145/3433174.3433618","https://www.sinconf.org/sin2020/docs/4.pdf","downloaded_open_access","papers/reference_library/01_cited_in_current_manuscript/Mukherjee2020.pdf","514176433cdd3e5e8911259a56f590910021ab6755338a7bc50bac32d31938a2","Downloaded from a public open-access location."
